"Date","Amount","Description","Category","User"
"2016-02-18",6.1,"Description147","Category4","User2"
"2016-02-18",77.9,"Description185","Category2","User2"
"2016-02-17",33.76,"Description205","Category1","User2"
"2016-02-16",46,"Description180","Category1","User2"
"2016-02-16",19.06,"Description185","Category2","User2"
"2016-02-12",9.01,"Description271","Category4","User2"
"2016-02-12",746.97,"Description12","Category3","User2"
"2016-02-08",83.61,"Description185","Category2","User2"
"2016-02-08",50,"Description354","Category4","User2"
"2016-02-08",44.91,"Description303","Category5","User2"
"2016-02-08",30,"Description172","Category6","User2"
"2016-02-08",6.1,"Description147","Category4","User2"
"2016-02-03",44.99,"Description350","Category1","User2"
"2016-02-03",5.25,"Description147","Category4","User2"
"2016-02-02",641,"Description42","Category1","User2"
"2016-02-02",422.71,"Description445","Category1","User2"
"2016-02-02",8.45,"Description445","Category1","User2"
"2016-02-02",6.05,"Description147","Category4","User2"
"2016-02-02",2.39,"Description147","Category4","User2"
"2016-02-02",27.25,"Description214","Category4","User2"
"2016-02-01",3.5,"Description306","Category1","User2"
"2016-02-01",10.98,"Description99","Category4","User2"
"2016-02-01",30,"Description159","Category6","User2"
"2016-02-01",7.39,"Description3","Category5","User2"
"2016-01-29",746.97,"Description12","Category3","User2"
"2016-01-29",1967.15,"Description289","Category3","User2"
"2016-01-28",4.73,"Description185","Category2","User2"
"2016-01-28",230,"Description289","Category3","User2"
"2016-01-27",25.95,"Description214","Category4","User2"
"2016-01-26",13.59,"Description179","Category1","User2"
"2016-01-21",6.31,"Description103","Category5","User2"
"2016-01-21",42.94,"Description185","Category2","User2"
"2016-01-19",55.67,"Description144","Category5","User2"
"2016-01-19",56.85,"Description471","Category2","User2"
"2016-01-19",22.07,"Description371","Category4","User2"
"2016-01-19",3.82,"Description205","Category1","User2"
"2016-01-19",20.05,"Description163","Category6","User2"
"2016-01-19",10.99,"Description98","Category4","User2"
"2016-01-19",14.29,"Description185","Category2","User2"
"2016-01-15",67.99,"Description185","Category2","User2"
"2016-01-15",44.44,"Description407","Category5","User2"
"2016-01-15",746.97,"Description12","Category3","User2"
"2016-01-12",5.48,"Description104","Category4","User2"
"2016-01-11",28,"Description419","Category4","User2"
"2016-01-11",13.5,"Description382","Category4","User2"
"2016-01-11",6.48,"Description212","Category4","User2"
"2016-01-11",10,"Description290","Category6","User2"
"2016-01-08",5.25,"Description306","Category1","User2"
"2016-01-05",113.5,"Description102","Category6","User2"
"2016-01-04",651,"Description45","Category1","User2"
"2016-01-04",7.11,"Description389","Category4","User2"
"2016-01-04",15.25,"Description208","Category2","User2"
"2015-12-31",748.53,"Description12","Category3","User2"
"2015-12-30",63.84,"Description315","Category2","User2"
"2015-12-30",8,"Description5","Category2","User2"
"2015-12-28",25.4,"Description405","Category5","User2"
"2015-12-28",60.79,"Description403","Category5","User2"
"2015-12-21",76.25,"Description315","Category2","User2"
"2015-12-21",8.03,"Description151","Category4","User2"
"2015-12-21",7.99,"Description348","Category1","User2"
"2015-12-18",748.53,"Description12","Category3","User2"
"2015-12-17",35.23,"Description205","Category1","User2"
"2015-12-15",36,"Description264","Category4","User2"
"2015-12-14",39.16,"Description108","Category4","User2"
"2015-12-14",7,"Description306","Category1","User2"
"2015-12-14",23.96,"Description305","Category2","User2"
"2015-12-10",10.59,"Description191","Category5","User2"
"2015-12-07",62.02,"Description185","Category2","User2"
"2015-12-04",7.3,"Description147","Category4","User2"
"2015-12-04",748.53,"Description12","Category3","User2"
"2015-12-03",648.49,"Description38","Category1","User2"
"2015-12-03",44.99,"Description350","Category1","User2"
"2015-12-02",369.94,"Description191","Category5","User2"
"2015-12-02",5.29,"Description147","Category4","User2"
"2015-11-30",30,"Description157","Category6","User2"
"2015-11-23",48.3,"Description351","Category1","User2"
"2015-11-23",7.42,"Description340","Category4","User2"
"2015-11-23",4.08,"Description147","Category4","User2"
"2015-11-20",8.43,"Description396","Category4","User2"
"2015-11-20",748.53,"Description12","Category3","User2"
"2015-11-19",7.99,"Description348","Category1","User2"
"2015-11-19",7,"Description306","Category1","User2"
"2015-11-19",81.54,"Description106","Category5","User2"
"2015-11-19",9.38,"Description420","Category5","User2"
"2015-11-12",16.87,"Description185","Category2","User2"
"2015-11-10",7.62,"Description147","Category4","User2"
"2015-11-10",900,"Description88","Category3","User2"
"2015-11-09",24.19,"Description152","Category4","User2"
"2015-11-09",7,"Description306","Category1","User2"
"2015-11-09",1.75,"Description306","Category1","User2"
"2015-11-06",791.43,"Description12","Category3","User2"
"2015-11-05",47.92,"Description185","Category2","User2"
"2015-11-03",654.79,"Description41","Category1","User2"
"2015-11-03",7.09,"Description147","Category4","User2"
"2015-11-02",9.8,"Description208","Category2","User2"
"2015-10-28",7.21,"Description310","Category4","User2"
"2015-10-27",48.3,"Description351","Category1","User2"
"2015-10-26",5.44,"Description423","Category5","User2"
"2015-10-23",8.57,"Description147","Category4","User2"
"2015-10-23",748.53,"Description12","Category3","User2"
"2015-10-21",3.5,"Description306","Category1","User2"
"2015-10-19",7.99,"Description348","Category1","User2"
"2015-10-19",8.97,"Description415","Category2","User2"
"2015-10-19",59,"Description86","Category4","User2"
"2015-10-19",11.25,"Description250","Category4","User2"
"2015-10-13",78.32,"Description457","Category1","User2"
"2015-10-13",7.9,"Description271","Category4","User2"
"2015-10-13",17.51,"Description185","Category2","User2"
"2015-10-13",105,"Description88","Category3","User2"
"2015-10-09",1348.53,"Description12","Category3","User2"
"2015-10-05",662.73,"Description44","Category1","User2"
"2015-10-02",3.69,"Description185","Category2","User2"
"2015-10-02",56.55,"Description185","Category2","User2"
"2015-09-29",1397.22,"Description251","Category6","User2"
"2015-09-29",48.3,"Description351","Category1","User2"
"2015-09-28",7,"Description306","Category1","User2"
"2015-09-28",1.75,"Description306","Category1","User2"
"2015-09-28",142.91,"Description62","Category5","User2"
"2015-09-28",32.68,"Description208","Category2","User2"
"2015-09-28",57.69,"Description185","Category2","User2"
"2015-09-25",748.53,"Description12","Category3","User2"
"2015-09-23",422.71,"Description446","Category1","User2"
"2015-09-23",8.45,"Description446","Category1","User2"
"2015-09-21",7.99,"Description348","Category1","User2"
"2015-09-21",7,"Description306","Category1","User2"
"2015-09-21",3.5,"Description306","Category1","User2"
"2015-09-21",14.5,"Description121","Category4","User2"
"2015-09-21",36,"Description107","Category5","User2"
"2015-09-21",10.89,"Description208","Category2","User2"
"2015-09-21",11.98,"Description208","Category2","User2"
"2015-09-21",100,"Description93","Category5","User2"
"2015-09-21",500,"Description88","Category3","User2"
"2015-09-16",2.24,"Description246","Category6","User2"
"2015-09-15",6,"Description271","Category4","User2"
"2015-09-15",3.06,"Description147","Category4","User2"
"2015-09-15",7.21,"Description208","Category2","User2"
"2015-09-15",27,"Description358","Category3","User2"
"2015-09-14",63.02,"Description129","Category5","User2"
"2015-09-14",72.22,"Description185","Category2","User2"
"2015-09-14",12.4,"Description404","Category5","User2"
"2015-09-14",7.35,"Description124","Category4","User2"
"2015-09-14",3.01,"Description323","Category4","User2"
"2015-09-11",2,"Description242","Category5","User2"
"2015-09-11",0.82,"Description222","Category5","User2"
"2015-09-11",27.39,"Description229","Category5","User2"
"2015-09-11",748.53,"Description12","Category3","User2"
"2015-09-10",3.13,"Description217","Category5","User2"
"2015-09-10",2,"Description237","Category5","User2"
"2015-09-10",104.46,"Description230","Category5","User2"
"2015-09-09",15.27,"Description226","Category4","User2"
"2015-09-03",13,"Description116","Category4","User2"
"2015-09-03",6.1,"Description221","Category5","User2"
"2015-09-03",2,"Description241","Category5","User2"
"2015-09-03",203.34,"Description233","Category5","User2"
"2015-09-02",3.06,"Description216","Category5","User2"
"2015-09-02",2,"Description236","Category5","User2"
"2015-09-02",101.98,"Description227","Category5","User2"
"2015-09-01",670.13,"Description43","Category1","User2"
"2015-09-01",5.29,"Description147","Category4","User2"
"2015-08-31",48.3,"Description351","Category1","User2"
"2015-08-31",31.59,"Description208","Category2","User2"
"2015-08-31",61.55,"Description185","Category2","User2"
"2015-08-31",1967.15,"Description88","Category3","User2"
"2015-08-28",40,"Description469","Category6","User2"
"2015-08-28",748.53,"Description12","Category3","User2"
"2015-08-27",20,"Description468","Category6","User2"
"2015-08-26",15,"Description447","Category2","User2"
"2015-08-26",4.19,"Description247","Category6","User2"
"2015-08-26",6.79,"Description136","Category2","User2"
"2015-08-24",30,"Description469","Category6","User2"
"2015-08-24",12.97,"Description328","Category4","User2"
"2015-08-20",1221,"Description1","Category1","User2"
"2015-08-20",33,"Description434","Category6","User2"
"2015-08-19",7.99,"Description348","Category1","User2"
"2015-08-19",40,"Description347","Category4","User2"
"2015-08-18",23,"Description153","Category6","User2"
"2015-08-18",20,"Description468","Category6","User2"
"2015-08-18",18.14,"Description189","Category2","User2"
"2015-08-17",3.5,"Description306","Category1","User2"
"2015-08-17",6.26,"Description322","Category4","User2"
"2015-08-14",100,"Description456","Category1","User2"
"2015-08-14",6,"Description271","Category4","User2"
"2015-08-12",25.21,"Description185","Category2","User2"
"2015-08-11",48.3,"Description95","Category1","User2"
"2015-08-10",30,"Description158","Category6","User2"
"2015-08-10",71.07,"Description150","Category4","User2"
"2015-08-07",20,"Description468","Category6","User2"
"2015-08-07",36.67,"Description431","Category2","User2"
"2015-08-06",99.56,"Description315","Category2","User2"
"2015-08-04",5.29,"Description147","Category4","User2"
"2015-08-04",2.01,"Description147","Category4","User2"
"2015-08-04",369.47,"Description132","Category2","User2"
"2015-08-03",146.13,"Description207","Category5","User2"
"2015-07-31",74.8,"Description351","Category1","User2"
"2015-07-31",91.98,"Description291","Category5","User2"
"2015-07-31",8.47,"Description215","Category5","User2"
"2015-07-31",99,"Description215","Category5","User2"
"2015-07-31",690.06,"Description215","Category5","User2"
"2015-07-30",1001,"Description178","Category1","User2"
"2015-07-30",50.75,"Description178","Category1","User2"
"2015-07-30",26.43,"Description62","Category5","User2"
"2015-07-30",56.14,"Description62","Category5","User2"
"2015-07-29",22.42,"Description377","Category2","User2"
"2015-07-28",5.29,"Description147","Category4","User2"
"2015-07-27",39.78,"Description291","Category5","User2"
"2015-07-20",7.99,"Description295","Category1","User2"
"2015-07-20",15.58,"Description377","Category2","User2"
"2015-07-17",5.29,"Description147","Category4","User2"
"2015-07-17",2.01,"Description147","Category4","User2"
"2015-07-17",840.49,"Description12","Category3","User2"
